rank	taxid	taxon	taxonomy_rank	taxonomy_standard	D	P	C	O	F	G	taxon_taxid
O	45200	Erysipelotrichales	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;;	Bacteria	Firmicutes	Bacilli	Erysipelotrichales			Erysipelotrichales (taxid 45200)
F	45214	Erysipelotrichaceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelotrichaceae	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		Erysipelotrichaceae (taxid 45214)
G	45238	uncultured	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelotrichaceae;G__uncultured	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;uncultured	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	uncultured	uncultured (taxid 45238)
G	45234	Turicibacter	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Turicibacter	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter (taxid 45234)
G	45226	Faecalibaculum	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Faecalibaculum	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	Faecalibaculum (taxid 45226)
G	45229	Holdemanella	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Holdemanella	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella (taxid 45229)
G	45220	Dubosiella	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Dubosiella	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	Dubosiella (taxid 45220)
G	45233	Solobacterium	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Solobacterium	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium (taxid 45233)
F	45201	Erysipelatoclostridiaceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelatoclostridiaceae	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae		Erysipelatoclostridiaceae (taxid 45201)
G	45207	Erysipelatoclostridium	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelatoclostridiaceae;G__Erysipelatoclostridium	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium (taxid 45207)
G	45203	Candidatus Stoquefichus	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelatoclostridiaceae;G__Candidatus Stoquefichus	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Candidatus Stoquefichus	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Candidatus Stoquefichus	Candidatus Stoquefichus (taxid 45203)
G	45209	Erysipelotrichaceae UCG-003	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelatoclostridiaceae;G__Erysipelotrichaceae UCG-003	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelotrichaceae UCG-003	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelotrichaceae UCG-003	Erysipelotrichaceae UCG-003 (taxid 45209)
G	45212	UCG-004	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Erysipelotrichales;F__Erysipelatoclostridiaceae;G__UCG-004	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;UCG-004	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	UCG-004	UCG-004 (taxid 45212)
O	45282	RF39	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__RF39	Bacteria;Firmicutes;Bacilli;RF39;;	Bacteria	Firmicutes	Bacilli	RF39			RF39 (taxid 45282)
O	1674	Bacillales	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales	Bacteria;Firmicutes;Bacilli;Bacillales;;	Bacteria	Firmicutes	Bacilli	Bacillales			Bacillales (taxid 1674)
F	1680	Bacillaceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		Bacillaceae (taxid 1680)
G	1688	Bacillus	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae;G__Bacillus	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus (taxid 1688)
O	45284	Staphylococcales	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Staphylococcales	Bacteria;Firmicutes;Bacilli;Staphylococcales;;	Bacteria	Firmicutes	Bacilli	Staphylococcales			Staphylococcales (taxid 45284)
F	45287	Staphylococcaceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Staphylococcales;F__Staphylococcaceae	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae		Staphylococcaceae (taxid 45287)
G	45295	Staphylococcus	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Staphylococcales;F__Staphylococcaceae;G__Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus (taxid 45295)
G	45288	Aliicoccus	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Staphylococcales;F__Staphylococcaceae;G__Aliicoccus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Aliicoccus	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Aliicoccus	Aliicoccus (taxid 45288)
O	45263	Mycoplasmatales	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Mycoplasmatales	Bacteria;Firmicutes;Bacilli;Mycoplasmatales;;	Bacteria	Firmicutes	Bacilli	Mycoplasmatales			Mycoplasmatales (taxid 45263)
F	45264	Mycoplasmataceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Mycoplasmatales;F__Mycoplasmataceae	Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae		Mycoplasmataceae (taxid 45264)
G	45267	Mycoplasma	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Mycoplasmatales;F__Mycoplasmataceae;G__Mycoplasma	Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma (taxid 45267)
C	2164	Negativicutes	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes	Bacteria;Firmicutes;Negativicutes;;;	Bacteria	Firmicutes	Negativicutes				Negativicutes (taxid 2164)
O	45752	Veillonellales-Selenomonadales	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Veillonellales-Selenomonadales	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;;	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales			Veillonellales-Selenomonadales (taxid 45752)
F	45753	Selenomonadaceae	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Veillonellales-Selenomonadales;F__Selenomonadaceae	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae		Selenomonadaceae (taxid 45753)
G	45754	Anaerovibrio	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Veillonellales-Selenomonadales;F__Selenomonadaceae;G__Anaerovibrio	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Anaerovibrio	Anaerovibrio (taxid 45754)
G	45760	Quinella	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Veillonellales-Selenomonadales;F__Selenomonadaceae;G__Quinella	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Quinella	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Quinella	Quinella (taxid 45760)
G	45756	Megamonas	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Veillonellales-Selenomonadales;F__Selenomonadaceae;G__Megamonas	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Megamonas	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	Megamonas (taxid 45756)
F	45780	Veillonellaceae	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Veillonellales-Selenomonadales;F__Veillonellaceae	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae		Veillonellaceae (taxid 45780)
G	45785	Negativicoccus	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Veillonellales-Selenomonadales;F__Veillonellaceae;G__Negativicoccus	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Negativicoccus	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Negativicoccus	Negativicoccus (taxid 45785)
G	45786	Veillonella	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Veillonellales-Selenomonadales;F__Veillonellaceae;G__Veillonella	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella (taxid 45786)
O	45745	Acidaminococcales	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Acidaminococcales	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;;	Bacteria	Firmicutes	Negativicutes	Acidaminococcales			Acidaminococcales (taxid 45745)
F	45746	Acidaminococcaceae	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Acidaminococcales;F__Acidaminococcaceae	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae		Acidaminococcaceae (taxid 45746)
G	45748	Phascolarctobacterium	R__root;D__Bacteria;P__Firmicutes;C__Negativicutes;O__Acidaminococcales;F__Acidaminococcaceae;G__Phascolarctobacterium	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium (taxid 45748)
P	2375	Proteobacteria	R__root;D__Bacteria;P__Proteobacteria	Bacteria;Proteobacteria;;;;	Bacteria	Proteobacteria					Proteobacteria (taxid 2375)
C	3303	Gammaproteobacteria	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria	Bacteria;Proteobacteria;Gammaproteobacteria;;;	Bacteria	Proteobacteria	Gammaproteobacteria				Gammaproteobacteria (taxid 3303)
O	46449	Enterobacterales	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales			Enterobacterales (taxid 46449)
F	46454	Enterobacteriaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		Enterobacteriaceae (taxid 46454)
G	46463	Escherichia-Shigella	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Enterobacteriaceae;G__Escherichia-Shigella	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella (taxid 46463)
G	46462	Enterobacter	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Enterobacteriaceae;G__Enterobacter	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter (taxid 46462)
G	46464	Franconibacter	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Enterobacteriaceae;G__Franconibacter	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Franconibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Franconibacter	Franconibacter (taxid 46464)
G	46465	Klebsiella	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Enterobacteriaceae;G__Klebsiella	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella (taxid 46465)
G	46460	Cronobacter	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Enterobacteriaceae;G__Cronobacter	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter (taxid 46460)
F	46478	Erwiniaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Erwiniaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae		Erwiniaceae (taxid 46478)
G	46483	Pantoea	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Erwiniaceae;G__Pantoea	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea (taxid 46483)
F	46493	Morganellaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Morganellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae		Morganellaceae (taxid 46493)
G	46520	Providencia	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Morganellaceae;G__Providencia	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia (taxid 46520)
F	46525	Pectobacteriaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Pectobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae		Pectobacteriaceae (taxid 46525)
G	46530	Pectobacterium	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacterales;F__Pectobacteriaceae;G__Pectobacterium	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium (taxid 46530)
O	46187	Burkholderiales	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;;	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			Burkholderiales (taxid 46187)
F	46436	Sutterellaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Sutterellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae		Sutterellaceae (taxid 46436)
G	46438	Parasutterella	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Sutterellaceae;G__Parasutterella	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	Parasutterella (taxid 46438)
G	46439	Sutterella	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Sutterellaceae;G__Sutterella	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella (taxid 46439)
F	46189	Alcaligenaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Alcaligenaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae		Alcaligenaceae (taxid 46189)
G	46197	Castellaniella	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Alcaligenaceae;G__Castellaniella	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Castellaniella	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	Castellaniella (taxid 46197)
G	46206	Parapusillimonas	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Alcaligenaceae;G__Parapusillimonas	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Parapusillimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Parapusillimonas	Parapusillimonas (taxid 46206)
G	46190	Achromobacter	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Alcaligenaceae;G__Achromobacter	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter (taxid 46190)
G	46204	Paenalcaligenes	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Alcaligenaceae;G__Paenalcaligenes	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Paenalcaligenes	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Paenalcaligenes	Paenalcaligenes (taxid 46204)
G	46202	Oligella	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Alcaligenaceae;G__Oligella	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Oligella	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Oligella	Oligella (taxid 46202)
F	46251	Chromobacteriaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Chromobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Chromobacteriaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae		Chromobacteriaceae (taxid 46251)
G	46258	Vogesella	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Chromobacteriaceae;G__Vogesella	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Chromobacteriaceae;Vogesella	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Vogesella	Vogesella (taxid 46258)
F	46259	Comamonadaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Comamonadaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		Comamonadaceae (taxid 46259)
F	46220	Burkholderiaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Burkholderiaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae		Burkholderiaceae (taxid 46220)
G	46229	Polynucleobacter	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Burkholderiaceae;G__Polynucleobacter	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter (taxid 46229)
G	46230	Ralstonia	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Burkholderiaceae;G__Ralstonia	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia (taxid 46230)
F	46348	Neisseriaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Neisseriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae		Neisseriaceae (taxid 46348)
G	46354	Neisseria	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Neisseriaceae;G__Neisseria	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria (taxid 46354)
G	46358	Uruburuella	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Neisseriaceae;G__Uruburuella	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Uruburuella	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Uruburuella	Uruburuella (taxid 46358)
F	46375	Oxalobacteraceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Oxalobacteraceae	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		Oxalobacteraceae (taxid 46375)
G	46388	Massilia	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Burkholderiales;F__Oxalobacteraceae;G__Massilia	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia (taxid 46388)
O	3316	Aeromonadales	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Aeromonadales	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;;	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales			Aeromonadales (taxid 3316)
F	3326	Succinivibrionaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Aeromonadales;F__Succinivibrionaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae		Succinivibrionaceae (taxid 3326)
G	3327	Anaerobiospirillum	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Aeromonadales;F__Succinivibrionaceae;G__Anaerobiospirillum	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Anaerobiospirillum	Anaerobiospirillum (taxid 3327)
G	3331	Succinivibrio	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Aeromonadales;F__Succinivibrionaceae;G__Succinivibrio	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio	Succinivibrio (taxid 3331)
O	3709	Pseudomonadales	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Pseudomonadales	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales			Pseudomonadales (taxid 3709)
F	3710	Moraxellaceae	R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Pseudomonadales;F__Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae		Moraxellaceae (taxid 3710)
