pathway	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
PANTO-PWY	40094.92160889244	34383.36269661759	40718.20230954459	33955.32622335698	35018.94642284142	56027.068310793	53788.95063263596	57123.94696084367	54190.993825651116	46154.01601903524
PANTOSYN-PWY	39977.19123926476	33600.23199332546	41445.22765650552	33633.939358200994	36284.05526226506	61298.46485087106	57908.77013076819	61215.20952827116	57011.82142418032	49843.42415980845
PENTOSE-P-PWY	35108.31310928956	37435.74859554274	38480.55317461555	40616.49533495512	45394.06266772556	60550.94447792835	58750.89891059079	46954.22915298638	52234.387101832996	29800.31069219694
PEPTIDOGLYCANSYN-PWY	45765.74144276753	36403.9221011841	46853.973270333714	38312.80489538296	44289.9154227593	76082.4470946938	72462.05415281962	62981.87535208932	60719.669251771	49681.97168298977
PHOSLIPSYN-PWY	49200.845418574514	41996.251312702676	48654.73455356125	45410.66415009884	48562.082987631016	75608.83403125968	69053.18792161648	70911.17933292149	63663.691709161365	58665.626956811
POLYAMINSYN3-PWY	5489.7422492086	5024.867081501022	7296.970128639773	6255.871215099387	7094.992109044669	11471.144964071447	6469.585417893626	9336.432209809363	9960.029832052118	8115.055386286458
POLYAMSYN-PWY	19326.175419460906	19302.611795421344	17729.537220857444	23199.48108653372	20501.57761122354	13733.831869269448	15047.395993582426	10935.435981091956	12252.178799529638	9387.256988577408
POLYISOPRENSYN-PWY	38374.01199659807	32202.95727702127	40539.84458479983	31940.190234809263	36176.335448820966	62302.09706800598	58982.26392109856	60752.73140149471	56729.37661927559	49274.087737919785
PPGPPMET-PWY	25419.454196059654	25440.911322783526	15332.517234943614	30922.5244152725	28254.96207489524	16493.576755205246	15984.704484519176	16903.494735181044	16254.005802829231	10858.82831787486
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	17632.916476834213	20514.522440128218	8736.854378578199	25540.50082997081	20688.38764895156	3004.651590977053	445.5412590348457	6918.110111510913	2202.7671520601057	1405.8151418222408
PRPP-PWY	39969.312763358816	35185.304774195814	41096.18860109237	36088.30185955015	39581.55383523183	60651.2798653446	53883.652371183976	58553.17453762002	52489.37582869107	47203.74169803129
PWY-1269	29462.06329906509	29245.498321431984	32077.424711748845	26749.11926573419	26523.827261001217	43638.91813768421	42452.01629805864	47455.775633452235	47414.43663390845	39213.717868225205
PWY-1361	0.0	0.0	5.998564802756775	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1541	22.2569924455868	76.15054387238958	140.96856659468122	93.16032453555636	139.58417756121244	93.33619270441429	84.50947820663507	97.01538700362576	45.453780797052076	29.80568918899969
PWY-1622	0.0	27.497537847483134	28.71497404772963	0.0	28.392966606329598	36.862857899741	0.0	0.0	0.0	0.0
PWY-181	92.89065646516171	491.9620528366475	1023.3086343057057	534.5708416107065	775.7142433458192	737.5474310619953	299.88348596984304	969.5910220387581	681.8658783733748	114.32063605706432
PWY-1861	16826.30423123833	1402.0023407390256	13972.81710220967	2778.427246169262	3447.0685004034003	6889.584574396617	5927.243509136352	5113.029254783411	4754.347963553239	2547.4852562419846
PWY-1882	0.0	1.2918532238757727	9.790984599814818	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-2941	10186.368187138818	11464.595255989947	11985.056643609489	11583.861170188165	21946.00501490742	34727.47743483967	24696.63652554145	24141.818598948183	18121.202931716496	17813.954582205966
PWY-2942	52557.6176773078	44586.690619632485	50418.93877158028	45991.71536710687	49930.848469744065	78975.86532003715	77988.33107619824	72823.1662846479	67542.20643331461	60864.9672806946
PWY-3001	47753.84680223782	40840.89527754581	47443.920465422496	41092.80071509011	43140.94674508673	74985.7662548575	77179.85794552315	67835.14001613963	67528.4060274946	54872.838251034875
PWY-3661	0.0	0.0	9.993120014655211	0.0	0.0	0.0	0.0	14.982423943593083	0.0	0.0
PWY-3781	2110.949716087361	6954.766994446152	13568.418254299699	7836.265861125563	9138.381151824919	11942.153143791114	967.7895140876607	11735.50464090971	7820.009112653957	1832.3906253547523
PWY-4984	2464.933215747021	1672.5575650202532	3915.6693726140734	1714.38020428477	5282.271167429981	4802.32602231589	1176.2779051394475	3483.091921382198	2413.11383674625	918.0309304059755
PWY-5005	610.995324364219	36.380937429342126	528.533454148458	7.1988789173816485	289.2788633353601	21.594221600410695	124.40360401983837	103.87158835243916	29.581397848317373	76.90650630818047
PWY-5022	7556.033117033038	3112.805844308842	10760.891220057329	4192.649431260793	4635.667976052965	8366.781340479265	5248.5783799457595	7250.847076835562	3904.5536655597916	3401.8077337563545
PWY-5028	218.81335707028083	1019.9458224233967	1954.0181617388866	1293.7530732659693	1931.7684118217787	1691.2978561985549	54.94103206664772	1717.0526048986649	1157.5323425278696	13.117823653620984
PWY-5088	347.2267975944243	0.0	261.6651210732865	0.0	94.18111548977475	114.16154519069451	56.12811281002061	107.5175527079618	22.48055507830746	0.0
